access,area,bridge,coords,created_by,gid,highway,junction,lanes,lanes:backward,lanes:forward,length,maxspeed,motor_vehicle,motorcar,name,name_1,oneway,ramp,ref,service,tiger:cfcc,tiger:county,tiger:name_base,tiger:name_base_1,tiger:name_base_2,tiger:name_base_3,tiger:name_direction_prefix,tiger:name_direction_prefix_1,tiger:name_direction_suffix,tiger:name_direction_suffix_1,tiger:name_type_2,tiger:name_type_3,tiger:reviewed,tiger:source,tiger:upload_uuid,tiger:zip_left,tiger:zip_left_1,tiger:zip_left_2,tiger:zip_left_3,tiger:zip_left_4,tiger:zip_right,tiger:zip_right_1,tiger:zip_right_2,tiger:zip_right_3,tiger:zip_right_4,toll,tunnel,turn:lanes,turn:lanes:backward,turn:lanes:forward,width
,,,"[[-77.709960,39.321087],[-77.710184,39.320820],[-77.710357,39.320658],[-77.710403,39.320615],[-77.710605,39.320444],[-77.710835,39.320299],[-77.711090,39.320171],[-77.711292,39.320091],[-77.711517,39.320017],[-77.711799,39.319935],[-77.712091,39.319879],[-77.712127,39.319873],[-77.712570,39.319801],[-77.713388,39.319671],[-77.713825,39.319616],[-77.714099,39.319597],[-77.714421,39.319596],[-77.714775,39.319609],[-77.715148,39.319650],[-77.715541,39.319717],[-77.715841,39.319783],[-77.716195,39.319883],[-77.716533,39.320000],[-77.716855,39.320133],[-77.717161,39.320280],[-77.717669,39.320542],[-77.717979,39.320690],[-77.718286,39.320819],[-77.718608,39.320922],[-77.718914,39.320989],[-77.719288,39.321041]]",,8818425,trunk,,2.0,,,,45 mph,,,Jefferson Pike,,,,US 340,,A21,"Loudoun, VA",Jefferson,United States Highway 340,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"[[-79.959267,38.947959],[-79.959085,38.948116],[-79.958958,38.948232],[-79.958919,38.948385],[-79.958972,38.948496],[-79.959458,38.948837],[-79.959840,38.949085],[-79.960542,38.949578],[-79.962063,38.950701],[-79.962132,38.951141],[-79.962140,38.951575],[-79.961900,38.951976],[-79.961788,38.952409],[-79.962046,38.952590],[-79.963016,38.952416],[-79.964029,38.952343],[-79.964784,38.952590],[-79.965196,38.952877],[-79.965620,38.953302],[-79.965739,38.954562],[-79.965762,38.954766],[-79.966097,38.955400],[-79.966234,38.955974],[-79.966329,38.956521],[-79.966578,38.957048]]",,10275629,residential,,,,,,,,,County Route 250/15,,,,,,A41,"Randolph, WV",County Route 250/15,,,,,,,,,,no,tiger_import_dch_v0.6_20070828,bulk_upload.pl-0c1562e4-fb4c-4aa4-a3e5-5a6ecfa7287e,,,,,,,,,,,,,,,,
,,,"[[-79.966578,38.957048],[-79.966792,38.957482],[-79.966821,38.957867],[-79.966844,38.958170],[-79.967078,38.958801],[-79.967136,38.958950],[-79.967316,38.959378],[-79.967581,38.959685],[-79.967960,38.959891],[-79.968535,38.960292],[-79.968801,38.960425],[-79.969466,38.960648]]",,10294445,unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"[[-80.665247,38.700470],[-80.664174,38.701684],[-80.663069,38.702932]]",,10296243,motorway,,2.0,,,,70 mph,,,,,yes,,I 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"[[-80.426894,39.021709],[-80.427515,39.021857],[-80.427939,39.021995],[-80.428470,39.022291],[-80.428608,39.022444],[-80.428771,39.022718],[-80.428874,39.022984],[-80.428818,39.023158],[-80.428668,39.023412],[-80.428505,39.023551],[-80.428144,39.023658],[-80.427869,39.023685],[-80.427586,39.023658],[-80.427277,39.023518],[-80.427071,39.023258],[-80.426977,39.022971],[-80.426985,39.022798],[-80.427256,39.022323]]",,10296328,motorway_link,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"[[-80.430259,39.018085],[-80.429584,39.018672],[-80.429219,39.019122],[-80.428972,39.019397]]",,10296459,motorway_link,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"[[-80.422888,39.021340],[-80.423135,39.021460],[-80.423392,39.021550],[-80.423831,39.021642],[-80.424046,39.021679],[-80.424220,39.021699],[-80.425066,39.021742],[-80.425378,39.021764],[-80.425528,39.021793],[-80.425649,39.021830],[-80.425743,39.021873],[-80.425854,39.021940],[-80.425930,39.022005],[-80.425988,39.022066],[-80.426040,39.022134],[-80.426080,39.022220],[-80.426103,39.022303],[-80.426117,39.022377],[-80.426106,39.022471],[-80.426050,39.022731],[-80.425571,39.023540],[-80.425320,39.024098],[-80.425149,39.024405],[-80.424797,39.025052]]",,10296518,motorway_link,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"[[-79.949896,38.978969],[-79.950134,38.979165],[-79.950249,38.979263]]",,10296719,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"[[-79.956911,38.975199],[-79.956805,38.975425],[-79.956111,38.976144],[-79.954762,38.977280],[-79.953760,38.978041],[-79.953423,38.978301],[-79.952462,38.978954],[-79.951080,38.979955],[-79.950153,38.980524],[-79.949896,38.980683],[-79.949344,38.981014],[-79.948986,38.981036],[-79.948488,38.981263],[-79.947312,38.981797],[-79.946589,38.982257]]",,10296729,residential,,,,,,,,,River Avenue,County Route 52,,,,,A41,"Barbour, WV",River,County Route 52,,,,,,,,,yes,,,,,,,,,,,,,,,,,,
,,,"[[-79.950153,38.980524],[-79.951069,38.981290],[-79.951260,38.981450],[-79.952024,38.982157],[-79.952659,38.982717],[-79.953209,38.983265],[-79.953444,38.983423],[-79.953844,38.983691],[-79.954573,38.984179]]",,10296739,residential,,,,,,,,,6th Street,County Route 52/2,,,,,A41,"Barbour, WV",6th,County Route 52/2,,,,,,,,,yes,,,,,,,,,,,,,,,,,,
