access,area,bridge,coords,created_by,gid,highway,junction,lanes,lanes:backward,lanes:forward,length,maxspeed,motor_vehicle,motorcar,name,name_1,oneway,ramp,ref,service,tiger:cfcc,tiger:county,tiger:name_base,tiger:name_base_1,tiger:name_base_2,tiger:name_base_3,tiger:name_direction_prefix,tiger:name_direction_prefix_1,tiger:name_direction_suffix,tiger:name_direction_suffix_1,tiger:name_type_2,tiger:name_type_3,tiger:reviewed,tiger:source,tiger:upload_uuid,tiger:zip_left,tiger:zip_left_1,tiger:zip_left_2,tiger:zip_left_3,tiger:zip_left_4,tiger:zip_right,tiger:zip_right_1,tiger:zip_right_2,tiger:zip_right_3,tiger:zip_right_4,toll,tunnel,turn:lanes,turn:lanes:backward,turn:lanes:forward,width
,,,"[[-78.178318,39.698207],[-78.178210,39.698221],[-78.178104,39.698246],[-78.178029,39.698278],[-78.177951,39.698330],[-78.177872,39.698396],[-78.177809,39.698491],[-78.177748,39.698773],[-78.177529,39.699774]]",,11559875,residential,,,,,,,,,North Church Street,,,,,,A41,"Washington, MD",Church,,,,N,,,,,,position,tiger_import_dch_v0.6_20070813,bulk_upload.pl-8ac8a608-2b72-4d97-a38f-447664eeaa12,21750,,,,,21750,,,,,,,,,,
,,,"[[-78.090252,39.680108],[-78.090301,39.680000],[-78.090399,39.679880],[-78.090685,39.679576],[-78.090720,39.679512],[-78.090705,39.679448],[-78.090665,39.679397],[-78.090437,39.679268],[-78.090359,39.679225],[-78.090099,39.679088],[-78.089829,39.678946],[-78.089433,39.678703],[-78.088933,39.678380],[-78.088709,39.678238],[-78.088483,39.678088],[-78.088358,39.677953],[-78.088287,39.677824],[-78.088227,39.677596],[-78.088157,39.677529],[-78.087991,39.677437],[-78.087910,39.677402],[-78.087826,39.677384],[-78.087734,39.677384],[-78.087687,39.677396],[-78.087670,39.677400],[-78.087595,39.677462],[-78.087242,39.677715],[-78.087203,39.677799],[-78.087202,39.677891],[-78.087227,39.677981],[-78.087409,39.678354],[-78.087423,39.678459],[-78.087407,39.678549],[-78.087358,39.678648],[-78.087227,39.678783],[-78.087159,39.678927],[-78.087128,39.679117],[-78.087148,39.679336],[-78.087211,39.679620],[-78.087319,39.679896],[-78.087454,39.680149],[-78.087611,39.680366],[-78.087713,39.680500],[-78.087858,39.680663],[-78.087898,39.680736],[-78.087906,39.680798],[-78.087871,39.680886],[-78.087741,39.681068],[-78.087671,39.681182],[-78.087588,39.681353],[-78.087557,39.681483],[-78.087551,39.681601],[-78.087580,39.681673],[-78.087638,39.681772],[-78.087746,39.681895],[-78.087940,39.682103],[-78.088032,39.682233],[-78.088178,39.682454]]",,11560089,unclassified,,,,,,,,,Millstone Circle,,,,,,A41,"Washington, MD",Millstone,,,,,,,,,,position,,,21750,,,,,21750,,,,,,,,,,
,,,"[[-78.291042,39.632229],[-78.291210,39.632126],[-78.291445,39.631955],[-78.291986,39.631610],[-78.292337,39.631376],[-78.292507,39.631249],[-78.292872,39.631076],[-78.292970,39.631002],[-78.293056,39.630893],[-78.293229,39.630670],[-78.293572,39.630371],[-78.293978,39.629954],[-78.294044,39.629920],[-78.294151,39.629895],[-78.294324,39.629821],[-78.294661,39.629611],[-78.294860,39.629487],[-78.295301,39.629234],[-78.295413,39.629192],[-78.295519,39.629182],[-78.295623,39.629183],[-78.295829,39.629200],[-78.296126,39.629174],[-78.296327,39.629150],[-78.296520,39.629067],[-78.296674,39.628957],[-78.296755,39.628859],[-78.296856,39.628760],[-78.296978,39.628666],[-78.297339,39.628532],[-78.297666,39.628384],[-78.297943,39.628267],[-78.298029,39.628223],[-78.298109,39.628216],[-78.298206,39.628226],[-78.298299,39.628257],[-78.298852,39.628455],[-78.299510,39.628698],[-78.300365,39.629019],[-78.300951,39.629209],[-78.301611,39.629424],[-78.301959,39.629566],[-78.302338,39.629763],[-78.302677,39.629931],[-78.302823,39.630006],[-78.302944,39.630042],[-78.303182,39.630077],[-78.303520,39.630159],[-78.304065,39.630352],[-78.304688,39.630594],[-78.305244,39.630800],[-78.305790,39.631000],[-78.305912,39.631079],[-78.305976,39.631159]]",,11560148,unclassified,,,,,,,,,Pearre Road,,,,,,A41,"Washington, MD",Pearre,,,,,,,,,,position,tiger_import_dch_v0.6_20070813,bulk_upload.pl-8ac8a608-2b72-4d97-a38f-447664eeaa12,,,,,,,,,,,,,,,,
,,,"[[-77.737326,39.332891],[-77.737234,39.333097],[-77.737119,39.333503],[-77.737107,39.333703],[-77.737037,39.333931],[-77.736951,39.334168],[-77.736815,39.334419],[-77.736753,39.334523],[-77.736549,39.334866],[-77.736479,39.334977],[-77.736404,39.335137],[-77.736384,39.335413],[-77.736214,39.335814],[-77.736177,39.336015],[-77.736136,39.336240],[-77.736074,39.336419],[-77.735971,39.336570],[-77.735458,39.337184],[-77.735135,39.337605],[-77.735043,39.337734],[-77.734908,39.338080],[-77.734501,39.338865],[-77.734403,39.338974],[-77.734274,39.339064],[-77.734089,39.339131],[-77.733800,39.339189],[-77.733497,39.339248],[-77.732420,39.339421],[-77.732179,39.339539],[-77.732008,39.339612],[-77.731845,39.339656],[-77.731697,39.339667],[-77.731386,39.339659],[-77.730845,39.339575],[-77.730693,39.339564],[-77.730572,39.339589],[-77.730480,39.339643],[-77.730408,39.339748],[-77.730262,39.340286],[-77.730194,39.340568],[-77.730121,39.340743],[-77.729933,39.340933],[-77.729797,39.341178],[-77.729750,39.341306],[-77.729749,39.341455],[-77.729769,39.341598],[-77.729758,39.341762],[-77.729720,39.341966],[-77.729630,39.342205],[-77.729558,39.342379],[-77.729449,39.342489],[-77.729306,39.342562],[-77.728994,39.342686],[-77.728789,39.342773],[-77.728386,39.342988],[-77.728231,39.343116],[-77.728108,39.343270],[-77.727997,39.343474],[-77.727865,39.343718],[-77.727818,39.343880],[-77.727792,39.344063],[-77.727570,39.344401],[-77.727423,39.344562],[-77.726953,39.345054],[-77.726659,39.345513],[-77.726344,39.346225],[-77.725657,39.347284],[-77.725186,39.348016],[-77.723892,39.351265],[-77.723685,39.351621],[-77.722889,39.352954],[-77.722209,39.353771],[-77.720923,39.354937],[-77.720470,39.355404],[-77.720394,39.356046],[-77.720243,39.356746],[-77.719865,39.357271],[-77.719034,39.357737],[-77.718353,39.358262],[-77.717975,39.359079],[-77.717312,39.361332],[-77.717093,39.361925],[-77.716857,39.362406],[-77.716828,39.362657],[-77.716710,39.362955],[-77.716681,39.363229],[-77.716563,39.363481],[-77.716475,39.364053],[-77.716328,39.364602],[-77.716286,39.365243],[-77.716211,39.366432],[-77.716152,39.366615],[-77.716152,39.366798],[-77.716064,39.366843],[-77.715946,39.367118],[-77.715173,39.368254],[-77.715078,39.368566],[-77.715250,39.368798],[-77.715894,39.369037],[-77.716486,39.369242],[-77.717748,39.369687],[-77.718186,39.370052],[-77.718460,39.370278],[-77.718958,39.370707],[-77.719361,39.370968],[-77.720531,39.371738],[-77.720700,39.372016],[-77.720815,39.372197]]",,11560236,residential,,,,,,,,,Hoffmaster Road,,,,,,A41,"Washington, MD",Hoffmaster,,,,,,,,,,no,,,21758,,,,,21758,,,,,,,,,,
,,,"[[-78.127636,39.691134],[-78.127942,39.691310],[-78.128194,39.691480],[-78.128405,39.691666],[-78.128548,39.691822],[-78.128681,39.691998],[-78.128787,39.692171],[-78.128857,39.692319],[-78.128929,39.692522],[-78.128935,39.692558],[-78.128977,39.692823],[-78.129014,39.693128],[-78.129169,39.694767],[-78.129200,39.694976],[-78.129242,39.695159],[-78.129314,39.695320],[-78.129435,39.695495],[-78.129636,39.695746],[-78.129662,39.695787],[-78.129730,39.695897],[-78.129760,39.695984],[-78.129781,39.696044],[-78.129807,39.696237],[-78.129801,39.696422],[-78.129715,39.696955],[-78.129699,39.697172],[-78.129715,39.697324],[-78.129765,39.697478],[-78.129834,39.697598],[-78.130001,39.697807],[-78.130070,39.697955],[-78.130104,39.698114],[-78.130104,39.698325],[-78.130025,39.698884],[-78.129982,39.699067],[-78.129912,39.699239],[-78.129657,39.699686],[-78.129441,39.700010],[-78.129220,39.700287],[-78.128833,39.700734],[-78.128601,39.701047],[-78.128377,39.701376],[-78.128088,39.701859],[-78.127867,39.702259],[-78.127723,39.702592],[-78.127600,39.702962],[-78.127431,39.703533],[-78.127394,39.703689],[-78.127398,39.703819],[-78.127431,39.703950],[-78.127522,39.704084],[-78.127733,39.704355],[-78.127812,39.704501],[-78.127858,39.704652],[-78.127866,39.704833],[-78.127774,39.706579],[-78.127740,39.706832],[-78.127674,39.707061],[-78.127655,39.707101],[-78.127572,39.707280],[-78.127448,39.707455],[-78.127276,39.707655],[-78.126949,39.708005],[-78.126734,39.708236],[-78.126469,39.708558],[-78.126161,39.709001],[-78.126121,39.709068],[-78.125701,39.709800],[-78.125645,39.709883],[-78.125594,39.709956],[-78.125279,39.710371],[-78.124620,39.711307],[-78.124241,39.711895],[-78.123736,39.712716],[-78.122881,39.714041],[-78.122528,39.714578],[-78.122497,39.714623],[-78.122388,39.714779],[-78.122238,39.714952],[-78.122110,39.715068],[-78.121974,39.715142],[-78.121808,39.715195],[-78.121627,39.715213],[-78.121472,39.715219],[-78.121308,39.715226],[-78.121194,39.715244],[-78.121058,39.715277],[-78.120950,39.715322],[-78.120397,39.715594],[-78.120209,39.715706],[-78.120076,39.715811],[-78.119962,39.715921],[-78.119877,39.716041],[-78.119800,39.716198],[-78.119391,39.717151],[-78.119163,39.717806],[-78.119047,39.718073],[-78.118911,39.718346],[-78.118793,39.718583],[-78.118735,39.718677],[-78.118678,39.718769],[-78.118553,39.718926],[-78.118381,39.719091],[-78.117554,39.719853],[-78.117234,39.720154],[-78.117074,39.720306],[-78.116517,39.720835],[-78.116448,39.720901],[-78.116332,39.721011],[-78.116143,39.721172],[-78.115983,39.721285],[-78.115817,39.721370],[-78.115636,39.721434],[-78.115424,39.721485],[-78.114645,39.721628],[-78.114452,39.721675],[-78.114274,39.721730],[-78.114109,39.721810],[-78.113961,39.721905],[-78.113384,39.722390]]",,11560260,secondary,,,,,,40 mph,,,Heavenly Acres Ridge,,,,MD 615,,A31,"Washington, MD",Heavenly Acres Ridge,State Highway 615,,,,,,,,,position,,,21750,,,,,21750,,,,,,,,,,
,,,"[[-77.777777,39.474827],[-77.777787,39.475013],[-77.777726,39.475242],[-77.777636,39.475646],[-77.777451,39.476392],[-77.777384,39.476859],[-77.777384,39.477190],[-77.777809,39.477848],[-77.777961,39.478170],[-77.778081,39.478307],[-77.778162,39.478781],[-77.778073,39.479467],[-77.777926,39.479833],[-77.777926,39.480107],[-77.778191,39.480427],[-77.778752,39.480954],[-77.779047,39.481342],[-77.779046,39.481434],[-77.779253,39.481686],[-77.779253,39.481823],[-77.779341,39.481869],[-77.779400,39.482417],[-77.779341,39.482898],[-77.779370,39.483401],[-77.779488,39.483674],[-77.779931,39.484040],[-77.779931,39.484544],[-77.779767,39.484717],[-77.779694,39.484795],[-77.779193,39.485024],[-77.778573,39.485138],[-77.778071,39.485115],[-77.777127,39.484932],[-77.776625,39.484703]]",,11560325,residential,,,,,,,,,River Road,,,,,,A41,"Washington, MD",River,,,,,,,,,,no,,,21782,,,,,21782,,,,,,,,,,
,,,"[[-77.842855,39.560299],[-77.842353,39.561969],[-77.842354,39.562563],[-77.843210,39.562334],[-77.843269,39.562197],[-77.843269,39.561717],[-77.844096,39.560870],[-77.844184,39.560390]]",,11560362,residential,,,,,,,,,Beagle Lane,,,,,,A41,"Washington, MD",Beagle,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,"[[-77.846122,39.561926],[-77.844954,39.562425],[-77.844599,39.562380],[-77.844392,39.562265],[-77.844392,39.562014],[-77.844923,39.561099],[-77.844923,39.560824],[-77.844687,39.560504],[-77.844184,39.560390],[-77.842855,39.560299],[-77.842589,39.560276],[-77.842205,39.559956],[-77.842234,39.559590],[-77.845332,39.551996]]",,11560364,residential,,,,,,,,,Beagle Lane,,,,,,A41,"Washington, MD",Beagle,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
,,,"[[-78.201914,39.698495],[-78.201812,39.698118],[-78.201768,39.698015],[-78.201660,39.697873],[-78.201560,39.697721],[-78.201499,39.697593],[-78.201461,39.697419],[-78.201419,39.696844],[-78.201381,39.696597],[-78.201321,39.696315],[-78.201317,39.696190],[-78.201333,39.696084],[-78.201387,39.695924],[-78.201894,39.694961],[-78.202222,39.694422],[-78.202295,39.694266],[-78.202315,39.694157],[-78.202289,39.694052],[-78.202234,39.693970],[-78.202110,39.693860],[-78.201802,39.693634],[-78.201684,39.693520],[-78.201612,39.693420],[-78.201501,39.693212],[-78.201375,39.693010],[-78.201202,39.692837],[-78.200911,39.692624],[-78.200290,39.692206],[-78.200170,39.692103],[-78.200094,39.691997],[-78.200048,39.691868],[-78.200023,39.691691],[-78.199953,39.690882],[-78.199950,39.690737],[-78.199988,39.690622],[-78.200062,39.690516],[-78.200337,39.690199],[-78.200482,39.690012],[-78.200648,39.689781],[-78.200785,39.689621],[-78.200946,39.689490],[-78.201139,39.689386],[-78.201336,39.689317],[-78.201513,39.689267],[-78.201745,39.689236],[-78.201886,39.689194],[-78.201997,39.689136],[-78.202142,39.689033],[-78.202254,39.688920],[-78.202356,39.688813],[-78.202440,39.688709],[-78.202519,39.688590],[-78.202645,39.688330],[-78.202822,39.688055],[-78.202977,39.687856],[-78.203777,39.686901],[-78.203959,39.686719],[-78.204170,39.686552],[-78.204855,39.686068],[-78.205200,39.685789],[-78.206470,39.684752],[-78.206853,39.684446],[-78.207034,39.684277],[-78.207223,39.684096],[-78.207419,39.683906],[-78.207643,39.683727],[-78.207904,39.683548],[-78.208306,39.683292],[-78.208529,39.683130],[-78.208829,39.682887],[-78.209030,39.682707],[-78.209156,39.682550],[-78.209235,39.682412],[-78.209268,39.682308],[-78.209276,39.682175],[-78.209236,39.681658],[-78.209176,39.680920],[-78.209154,39.680853],[-78.209098,39.680762],[-78.209085,39.680719],[-78.209081,39.680682],[-78.209079,39.680614],[-78.209079,39.680478],[-78.209066,39.680430],[-78.209056,39.680414],[-78.209042,39.680394],[-78.209024,39.680374],[-78.208998,39.680358],[-78.208942,39.680346],[-78.208775,39.680348]]",,11560502,tertiary,,,,,,,,,Locker Road,,,,,,A41,"Washington, MD",Locker,,,,,,,,,,position,tiger_import_dch_v0.6_20070813,bulk_upload.pl-8ac8a608-2b72-4d97-a38f-447664eeaa12,,,,,,,,,,,,,,,,
,,,"[[-78.160473,39.697779],[-78.160366,39.697860],[-78.160310,39.697918],[-78.160266,39.698000],[-78.160253,39.698069],[-78.160264,39.698172],[-78.160352,39.698469],[-78.160367,39.698594],[-78.160353,39.698713],[-78.160311,39.698841],[-78.160255,39.698944],[-78.160177,39.699045],[-78.160002,39.699240],[-78.159929,39.699330],[-78.159870,39.699438],[-78.159661,39.699876],[-78.159583,39.700070],[-78.159574,39.700143],[-78.159586,39.700215],[-78.159630,39.700274],[-78.159716,39.700326],[-78.159839,39.700368],[-78.160271,39.700491],[-78.160722,39.700619],[-78.160832,39.700639],[-78.160938,39.700642],[-78.161030,39.700633],[-78.161119,39.700610],[-78.161227,39.700566],[-78.161746,39.700289],[-78.161958,39.700209],[-78.162111,39.700155],[-78.162225,39.700149],[-78.162327,39.700151],[-78.162426,39.700176],[-78.162497,39.700217],[-78.162542,39.700271],[-78.162582,39.700348],[-78.162595,39.700430],[-78.162588,39.700503],[-78.162496,39.701094]]",,11560509,residential,,,,,,,,,McKinley Drive,,,,,,A41,"Washington, MD",McKinley,,,,,,,,,,position,tiger_import_dch_v0.6_20070813,bulk_upload.pl-8ac8a608-2b72-4d97-a38f-447664eeaa12,21750,,,,,21750,,,,,,,,,,
,,,"[[-77.974132,39.622574],[-77.974083,39.622440],[-77.974044,39.622246],[-77.974004,39.622117],[-77.973914,39.621872],[-77.973753,39.621521],[-77.973687,39.621337],[-77.973629,39.621109],[-77.973562,39.620874],[-77.973463,39.620553],[-77.973381,39.620324],[-77.973282,39.620109],[-77.973089,39.619760],[-77.973015,39.619624],[-77.972968,39.619507],[-77.972929,39.619352],[-77.972901,39.619181],[-77.972860,39.617961],[-77.972840,39.617671],[-77.972794,39.617319],[-77.972692,39.616073],[-77.972679,39.615900],[-77.972633,39.615627],[-77.972491,39.614833],[-77.972420,39.614482],[-77.972350,39.614243],[-77.972324,39.614062],[-77.972318,39.613918],[-77.972334,39.613786],[-77.972357,39.613635],[-77.972460,39.613353],[-77.972570,39.613076],[-77.972616,39.612922],[-77.972648,39.612806],[-77.972660,39.612706],[-77.972648,39.612608],[-77.972619,39.612519],[-77.972554,39.612429],[-77.972460,39.612337],[-77.972335,39.612249],[-77.972137,39.612138],[-77.971835,39.611983],[-77.971641,39.611905],[-77.971505,39.611847],[-77.971259,39.611710],[-77.971017,39.611572],[-77.970872,39.611469],[-77.970759,39.611362],[-77.970649,39.611221],[-77.970553,39.611049],[-77.970427,39.610775],[-77.970150,39.610075],[-77.970097,39.609866],[-77.970070,39.609672],[-77.970065,39.609573],[-77.970052,39.609322],[-77.970062,39.609084],[-77.970053,39.608854],[-77.970030,39.608766],[-77.969961,39.608631]]",,11560768,unclassified,,,,,,,,,McCoys Ferry Road,,,,,,A41,"Washington, MD",Mc Coys Ferry,,,,,,,,,,position,,,21722,,,,,21722,,,,,,,,,,
,,,"[[-78.180883,39.699200],[-78.180997,39.698753],[-78.181034,39.698546],[-78.181054,39.698254]]",,11560800,unclassified,,,,,,,,,Williams Street,,,,,,A41,"Washington, MD",Williams,,,,,,,,,,position,tiger_import_dch_v0.6_20070813,bulk_upload.pl-8ac8a608-2b72-4d97-a38f-447664eeaa12,,,,,,,,,,,,,,,,
,,,"[[-77.737326,39.332891],[-77.737592,39.332986],[-77.737830,39.333062],[-77.738009,39.333117],[-77.738180,39.333178],[-77.738290,39.333228],[-77.738387,39.333282],[-77.738442,39.333342],[-77.738482,39.333422],[-77.738490,39.333492],[-77.738495,39.333728],[-77.738529,39.333907],[-77.738551,39.334018],[-77.738589,39.334155],[-77.738658,39.334265],[-77.738833,39.334581],[-77.738957,39.334769],[-77.739049,39.334988],[-77.739092,39.335220],[-77.739104,39.335420],[-77.739097,39.335702],[-77.739017,39.335927],[-77.738884,39.336154],[-77.738710,39.336493],[-77.738641,39.337260],[-77.738616,39.337435],[-77.738530,39.337588],[-77.738430,39.337680],[-77.738328,39.337752],[-77.738082,39.337901],[-77.737797,39.338224],[-77.737692,39.338657],[-77.737690,39.338870],[-77.737656,39.339443],[-77.737592,39.340024],[-77.737540,39.340685],[-77.737498,39.340869],[-77.737379,39.341142],[-77.737302,39.341672],[-77.737279,39.342065],[-77.737262,39.342561],[-77.737220,39.343065],[-77.737163,39.343585],[-77.737159,39.344008],[-77.737194,39.344540],[-77.737264,39.345763],[-77.737429,39.346499],[-77.737340,39.347115],[-77.737388,39.347490],[-77.737552,39.347907],[-77.737561,39.348073],[-77.737522,39.348483],[-77.737371,39.349725],[-77.737455,39.350620],[-77.737432,39.350986],[-77.737338,39.351711],[-77.737395,39.352398],[-77.737172,39.352890],[-77.736985,39.353205],[-77.736779,39.353586],[-77.736550,39.353782],[-77.736340,39.353871],[-77.735899,39.354049],[-77.735522,39.354125],[-77.735217,39.354168],[-77.735146,39.354195],[-77.734960,39.354277],[-77.734862,39.354354],[-77.734698,39.354550],[-77.734569,39.354749],[-77.734332,39.355388],[-77.734190,39.355655],[-77.734078,39.355987],[-77.733915,39.356799],[-77.733452,39.357779],[-77.733253,39.358272],[-77.732669,39.359550],[-77.732581,39.359701],[-77.732588,39.359952],[-77.732593,39.360120],[-77.732561,39.360253],[-77.732469,39.360394],[-77.732282,39.360510],[-77.731918,39.360603],[-77.731262,39.360767],[-77.730638,39.361124],[-77.730289,39.361277],[-77.729572,39.361610],[-77.729229,39.361879],[-77.729038,39.362139],[-77.728779,39.362563],[-77.728538,39.363088],[-77.728513,39.363144],[-77.728324,39.363571],[-77.728215,39.363886],[-77.728130,39.364106],[-77.727920,39.364631],[-77.727723,39.364880],[-77.727495,39.365055],[-77.726465,39.365696],[-77.725471,39.366407],[-77.725258,39.366668],[-77.724322,39.368426],[-77.723902,39.368931],[-77.723327,39.369415],[-77.722520,39.370085],[-77.721753,39.370798],[-77.721396,39.371187],[-77.721069,39.371644],[-77.720882,39.371879],[-77.720815,39.372197],[-77.720824,39.372326],[-77.720895,39.372620],[-77.721038,39.373050],[-77.721344,39.373608],[-77.721653,39.374245],[-77.722031,39.374829],[-77.722194,39.375010],[-77.722371,39.375219],[-77.722863,39.375705],[-77.723369,39.376069],[-77.724494,39.377058],[-77.725258,39.377596],[-77.725602,39.377850],[-77.725988,39.378149],[-77.726763,39.378843],[-77.728026,39.380054],[-77.728485,39.380495],[-77.728954,39.380920],[-77.729018,39.380994],[-77.729087,39.381103],[-77.729164,39.381236],[-77.729232,39.381417],[-77.729277,39.381744],[-77.729249,39.382005],[-77.729141,39.382404],[-77.728975,39.382718],[-77.728847,39.382904],[-77.728688,39.383081],[-77.728514,39.383255],[-77.728350,39.383468],[-77.728229,39.383644],[-77.728160,39.383779],[-77.728106,39.383928],[-77.728035,39.384182],[-77.727933,39.384751],[-77.727917,39.384932],[-77.727921,39.385083],[-77.727945,39.385239],[-77.728030,39.385473],[-77.728039,39.385663],[-77.728046,39.385817],[-77.728043,39.385991],[-77.728019,39.386225],[-77.727966,39.386517],[-77.727902,39.386769],[-77.727847,39.386914],[-77.727774,39.387100],[-77.727654,39.387346],[-77.727526,39.387542],[-77.727280,39.387869],[-77.727049,39.388198],[-77.726847,39.388489],[-77.726718,39.388725],[-77.726619,39.388949],[-77.726490,39.389278],[-77.726373,39.389622],[-77.726235,39.390051],[-77.726116,39.390436],[-77.726028,39.390719],[-77.725928,39.390972],[-77.725733,39.391380],[-77.725628,39.391585],[-77.725545,39.391729],[-77.725465,39.391845],[-77.725327,39.392001],[-77.724807,39.392538],[-77.724347,39.393020],[-77.724078,39.393300],[-77.723777,39.393646],[-77.723545,39.393928],[-77.723333,39.394217],[-77.723170,39.394450],[-77.723051,39.394634],[-77.722960,39.394804],[-77.722898,39.394973],[-77.722716,39.395531],[-77.722567,39.395952],[-77.722394,39.396375],[-77.722265,39.396643],[-77.722195,39.396828],[-77.722144,39.397033],[-77.722082,39.397319],[-77.722050,39.397529],[-77.722037,39.397687],[-77.722036,39.398653],[-77.722056,39.399557],[-77.722067,39.399933],[-77.722062,39.400069],[-77.722046,39.400167],[-77.722002,39.400389],[-77.721935,39.400736],[-77.721732,39.401502],[-77.721428,39.402570],[-77.721387,39.402746],[-77.721358,39.402922],[-77.721350,39.403039],[-77.721344,39.403244],[-77.721329,39.403468],[-77.721310,39.403581],[-77.721283,39.403702],[-77.721245,39.403834],[-77.721193,39.403952],[-77.721103,39.404103],[-77.720840,39.404551],[-77.720778,39.404690],[-77.720747,39.404806],[-77.720713,39.404952],[-77.720638,39.405451],[-77.720613,39.405639],[-77.720596,39.405816],[-77.720593,39.405989],[-77.720584,39.406134],[-77.720558,39.406323],[-77.720530,39.406456],[-77.720462,39.406654],[-77.720326,39.407034],[-77.720174,39.407465],[-77.719975,39.408024],[-77.719730,39.408697],[-77.719630,39.408992],[-77.719615,39.409089],[-77.719617,39.409161],[-77.719646,39.409243],[-77.719715,39.409353],[-77.719861,39.409528],[-77.720142,39.409862],[-77.720345,39.410090],[-77.720464,39.410237],[-77.720522,39.410289],[-77.720670,39.410354],[-77.720893,39.410422],[-77.721429,39.410583],[-77.722063,39.410782],[-77.722343,39.410874],[-77.723089,39.411165],[-77.723252,39.411243],[-77.723540,39.411401],[-77.723854,39.411564],[-77.724018,39.411637],[-77.724342,39.411768],[-77.724454,39.411828],[-77.724534,39.411887],[-77.724569,39.411919],[-77.724598,39.411952],[-77.724658,39.412024],[-77.724721,39.412147],[-77.724781,39.412269],[-77.724842,39.412383],[-77.724938,39.412490],[-77.725092,39.412643],[-77.725517,39.413026],[-77.725716,39.413184],[-77.725895,39.413291],[-77.726028,39.413347],[-77.726150,39.413389],[-77.726356,39.413448],[-77.726847,39.413547],[-77.727001,39.413574],[-77.727157,39.413586],[-77.727319,39.413588],[-77.727664,39.413569],[-77.727920,39.413550],[-77.728156,39.413542],[-77.728458,39.413549],[-77.728621,39.413549],[-77.728725,39.413537],[-77.728841,39.413512],[-77.728956,39.413456],[-77.729095,39.413390],[-77.729204,39.413347],[-77.729339,39.413306],[-77.729502,39.413285],[-77.729652,39.413281],[-77.729858,39.413296],[-77.730103,39.413339],[-77.730323,39.413384],[-77.730498,39.413431],[-77.731060,39.413609],[-77.731286,39.413682],[-77.731473,39.413733],[-77.731711,39.413787],[-77.731845,39.413822],[-77.731965,39.413861],[-77.732073,39.413911],[-77.732235,39.414014],[-77.732516,39.414200],[-77.732700,39.414322],[-77.732901,39.414452],[-77.733032,39.414523],[-77.733168,39.414591],[-77.733358,39.414700],[-77.733571,39.414851],[-77.733808,39.415015],[-77.733985,39.415135],[-77.734143,39.415219],[-77.734348,39.415321],[-77.734501,39.415388],[-77.734665,39.415436],[-77.734916,39.415506],[-77.735051,39.415555],[-77.735198,39.415624],[-77.735311,39.415693],[-77.735393,39.415759],[-77.735610,39.415956],[-77.735724,39.416046],[-77.735813,39.416090],[-77.735894,39.416110],[-77.736008,39.416114],[-77.736146,39.416103],[-77.736962,39.415976],[-77.737122,39.415962],[-77.737226,39.415963],[-77.737359,39.415982],[-77.737504,39.416010],[-77.738236,39.416159],[-77.738731,39.416259],[-77.738840,39.416283],[-77.739038,39.416325],[-77.739227,39.416354],[-77.739420,39.416362],[-77.739585,39.416359],[-77.739856,39.416342],[-77.740089,39.416328],[-77.740356,39.416328],[-77.741033,39.416346],[-77.741302,39.416351],[-77.741479,39.416362],[-77.741676,39.416391],[-77.741843,39.416425],[-77.741926,39.416451],[-77.742002,39.416491],[-77.742058,39.416538],[-77.742093,39.416615],[-77.742121,39.416700]]",,11560898,secondary,,,,,,,,,Harpers Ferry Road,,,,,,A41,"Washington, MD",Harpers Ferry,,,,,,,,,,,,,21782,,,,,21782,,,,,,,,,,
,,,"[[-77.726136,39.324399],[-77.726190,39.324462],[-77.726242,39.324523],[-77.726332,39.324676],[-77.726397,39.324807],[-77.726492,39.324954],[-77.726630,39.325148],[-77.726857,39.325447],[-77.727259,39.325939],[-77.727504,39.326205],[-77.727738,39.326408],[-77.728097,39.326718],[-77.728508,39.327053],[-77.728840,39.327321],[-77.729076,39.327517],[-77.729456,39.327842],[-77.729841,39.328164],[-77.730103,39.328362],[-77.730417,39.328571],[-77.730680,39.328738],[-77.731133,39.328970],[-77.731536,39.329174],[-77.731957,39.329385],[-77.732359,39.329579],[-77.732810,39.329814],[-77.733246,39.330027],[-77.733603,39.330226],[-77.733967,39.330405],[-77.734278,39.330551],[-77.734499,39.330655],[-77.734683,39.330752],[-77.734878,39.330869],[-77.735033,39.330977],[-77.735198,39.331105],[-77.735351,39.331254],[-77.735429,39.331325]]",,11560902,secondary,,,,,,,,,Harpers Ferry Road,,,,,,A41,"Washington, MD",Harpers Ferry,,,,,,,,,,,,,21758,,,,,21758,,,,,,,,,,
,,,"[[-78.176458,39.699622],[-78.177529,39.699774],[-78.178632,39.699937]]",,11560957,residential,,,,,,,,,East High Street,,,,,,A41,"Washington, MD",High,,,,E,,,,,,position,tiger_import_dch_v0.6_20070813,bulk_upload.pl-8ac8a608-2b72-4d97-a38f-447664eeaa12,,,,,,,,,,,,,,,,
,,,"[[-78.161550,39.696315],[-78.161202,39.697471],[-78.161180,39.697567],[-78.161175,39.697680]]",,11561001,residential,,,,,,,,,Center Street,,,,,,A41,"Washington, MD",Center,,,,,,,,,,position,tiger_import_dch_v0.6_20070813,bulk_upload.pl-8ac8a608-2b72-4d97-a38f-447664eeaa12,21750,,,,,21750,,,,,,,,,,
